Track name, Artist name, Album, Playlist name, Type, ISRC
Bruno Mars,,,Favorite Artists,Artist,
Justin Bieber,,,Favorite Artists,Artist,
J Balvin,,,Favorite Artists,Artist,
Booba,,,Favorite Artists,Artist,
Ed Sheeran,,,Favorite Artists,Artist,
Beyoncé,,,Favorite Artists,Artist,
Ley Seca,Jhay Cortez,Ley Seca,¡Viva Latino!,Playlist track,USUM72113444
Cúrame,Rauw Alejandro,VICE VERSA,¡Viva Latino!,Playlist track,USSD12100296
SEJODIOTO,KAROL G,SEJODIOTO,¡Viva Latino!,Playlist track,USUM72117129
Sobrio,Maluma,Sobrio,¡Viva Latino!,Playlist track,USSD12100322
Una Nota,J Balvin,JOSE,¡Viva Latino!,Playlist track,QZM5U2100115
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),¡Viva Latino!,Playlist track,USA2P2135437
Wow Wow (feat. Becky G),Maria Becerra,Wow Wow (feat. Becky G),¡Viva Latino!,Playlist track,QMCE32100698
Volví,Aventura,Volví,¡Viva Latino!,Playlist track,QMFME2168127
Pepas,Farruko,Pepas,¡Viva Latino!,Playlist track,USSD12100307
Entre Nosotros,Tiago PZK,Entre Nosotros,¡Viva Latino!,Playlist track,ARGT32100004
París,Ingratax,París,¡Viva Latino!,Playlist track,MXB952100097
Nostálgico,Rvssian,Nostálgico,¡Viva Latino!,Playlist track,USSD12100318
LA DESPEDIDA - Live - Spotify Singles,Nathy Peluso,Spotify Singles,¡Viva Latino!,Playlist track,ES5022101683
In Da Getto,J Balvin,In Da Getto,¡Viva Latino!,Playlist track,QZM5U2100095
Te Olvido,Manuel Turizo,Te Olvido,¡Viva Latino!,Playlist track,QZDYA1800074
Ateo,C. Tangana,Ateo,¡Viva Latino!,Playlist track,ES5022101546
911 - Remix,Sech,911 (Remix),¡Viva Latino!,Playlist track,QM9WM2100036
Mal Acostumbrao,Mau y Ricky,Mal Acostumbrao,¡Viva Latino!,Playlist track,USSD12100634
El Incomprendido,Farruko,El Incomprendido,¡Viva Latino!,Playlist track,USSD12100701
Tiroteo - Remix,Marc Seguí,Tiroteo (Remix),¡Viva Latino!,Playlist track,USWL12100143
Yonaguni,Bad Bunny,Yonaguni,¡Viva Latino!,Playlist track,QM6P42169803
Está Dañada,Ivan Cornejo,Alma Vacía,¡Viva Latino!,Playlist track,QZMFV2000188
Don't Be Shy,Tiësto,Don't Be Shy,¡Viva Latino!,Playlist track,CYA112000981
Loco,Justin Quiles,Loco,¡Viva Latino!,Playlist track,USWL12100223
PENDEJO,Enrique Iglesias,FINAL (Vol.1),¡Viva Latino!,Playlist track,USRC12101318
Imposible Amor,Natti Natasha,Imposible Amor,¡Viva Latino!,Playlist track,USB272100135
AM Remix,Nio Garcia,AM Remix,¡Viva Latino!,Playlist track,QMBZ92185047
Linda,Tokischa,Linda,¡Viva Latino!,Playlist track,USSD12100649
Jugaste y Sufrí,Eslabon Armado,Corta Venas,¡Viva Latino!,Playlist track,USE7D2000268
Mon Amour - Remix,zzoilo,Mon Amour (Remix),¡Viva Latino!,Playlist track,ES5702101693
Qué Más Pues?,J Balvin,Qué Más Pues?,¡Viva Latino!,Playlist track,QZM5U2100064
Todo De Ti,Rauw Alejandro,Todo De Ti,¡Viva Latino!,Playlist track,USSD12100202
Maldita Foto,TINI,Maldita Foto,¡Viva Latino!,Playlist track,USHR12141956
Mal de Amores,Sofía Reyes,Mal de Amores,¡Viva Latino!,Playlist track,USWL12100434
Fulanito,Becky G,Fulanito,¡Viva Latino!,Playlist track,USRC12100954
FEEL ME??,Trueno,FEEL ME??,¡Viva Latino!,Playlist track,ARRWN2000080
Flow HP,Don Omar,Flow HP,¡Viva Latino!,Playlist track,QZJDW2100074
La Botella,Justin Quiles,La Última Promesa,¡Viva Latino!,Playlist track,USWL12100356
