,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,7uoFMmxln0GPXQ0AcCBXRq,Snowman,Bing Crosby,0.716,0.512,1,-6.257,1,0.0331,0.483,0.0,0.0928,0.326,104.957,audio_features,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,https://api.spotify.com/v1/tracks/7uoFMmxln0GPXQ0AcCBXRq,https://api.spotify.com/v1/audio-analysis/7uoFMmxln0GPXQ0AcCBXRq,165907,3
1,0iV9yfj1knFNOSEiuTHZwl,It's The Most Wonderful Time of the Year,Fiona Apple,0.244,0.274,8,-10.433,1,0.04,0.871,1.18e-05,0.0897,0.164,68.534,audio_features,spotify:track:0iV9yfj1knFNOSEiuTHZwl,https://api.spotify.com/v1/tracks/0iV9yfj1knFNOSEiuTHZwl,https://api.spotify.com/v1/audio-analysis/0iV9yfj1knFNOSEiuTHZwl,243133,4
2,4KV9bM7a1KDc7b7OakFZic,I'll Be Home for Christmas,Nina Nesbitt,0.706,0.383,8,-11.44,1,0.0342,0.758,0.0,0.0608,0.87,86.997,audio_features,spotify:track:4KV9bM7a1KDc7b7OakFZic,https://api.spotify.com/v1/tracks/4KV9bM7a1KDc7b7OakFZic,https://api.spotify.com/v1/audio-analysis/4KV9bM7a1KDc7b7OakFZic,122160,4
3,6yaxdh87KVj82QIYKTP1zt,I Saw Mommy Kissing Santa Claus,Atlantic Holiday,0.423,0.301,7,-12.301,0,0.0391,0.918,0.00263,0.234,0.553,136.791,audio_features,spotify:track:6yaxdh87KVj82QIYKTP1zt,https://api.spotify.com/v1/tracks/6yaxdh87KVj82QIYKTP1zt,https://api.spotify.com/v1/audio-analysis/6yaxdh87KVj82QIYKTP1zt,168107,3
4,1RMDXedcRno6rDBCbNHDJf,Bring Me Love,Ariana Grande,0.594,0.389,10,-7.109,1,0.0517,0.785,0.0,0.0313,0.396,122.331,audio_features,spotify:track:1RMDXedcRno6rDBCbNHDJf,https://api.spotify.com/v1/tracks/1RMDXedcRno6rDBCbNHDJf,https://api.spotify.com/v1/audio-analysis/1RMDXedcRno6rDBCbNHDJf,171093,4
5,7dvkUNutBgT1tw41tpvpUh,Lonely This Christmas,"Earth, Wind & Fire",0.676,0.412,8,-7.97,1,0.0347,0.796,0.0,0.139,0.47,124.891,audio_features,spotify:track:7dvkUNutBgT1tw41tpvpUh,https://api.spotify.com/v1/tracks/7dvkUNutBgT1tw41tpvpUh,https://api.spotify.com/v1/audio-analysis/7dvkUNutBgT1tw41tpvpUh,157600,4
6,1mH6tZC6iXIHPI6EixCwxw,This Christmas,Jessie J,0.383,0.914,9,-6.43,1,0.0515,0.00422,1.4e-05,0.444,0.528,139.955,audio_features,spotify:track:1mH6tZC6iXIHPI6EixCwxw,https://api.spotify.com/v1/tracks/1mH6tZC6iXIHPI6EixCwxw,https://api.spotify.com/v1/audio-analysis/1mH6tZC6iXIHPI6EixCwxw,278947,4
7,0bYg9bo50gSsH3LtXe2SQn,Christmas Time,Mitchell Ayres & His Orchestra,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,audio_features,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107,4
8,2eLPefNqdtcTN1pCEqlrWr,"Let It Snow, Let It Snow, Let It Snow",Ken Darby Singers,0.216,0.428,4,-7.742,1,0.0362,0.0432,0.0,0.102,0.168,128.298,audio_features,spotify:track:2eLPefNqdtcTN1pCEqlrWr,https://api.spotify.com/v1/tracks/2eLPefNqdtcTN1pCEqlrWr,https://api.spotify.com/v1/audio-analysis/2eLPefNqdtcTN1pCEqlrWr,265400,4
9,3QiAAp20rPC3dcAtKtMaqQ,O Holy Night,Tori Kelly,0.465,0.27,4,-16.661,1,0.0425,0.9,0.00104,0.145,0.58,94.518,audio_features,spotify:track:3QiAAp20rPC3dcAtKtMaqQ,https://api.spotify.com/v1/tracks/3QiAAp20rPC3dcAtKtMaqQ,https://api.spotify.com/v1/audio-analysis/3QiAAp20rPC3dcAtKtMaqQ,129173,4
