danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.865,0.694,-6.358,0.0431,0.252,0.000842,0.11,0.661,103.988,3.5656333333333334
0.449,0.541,-10.299,0.0417,0.0873,0.0,0.17,0.276,125.156,2.984933333333333
0.512,0.55,-8.264,0.0272,0.00688,0.000839,0.106,0.48,99.905,3.6432166666666665
0.83,0.631,-5.238,0.0313,0.0022,0.0359,0.0539,0.877,128.013,3.7131166666666666
0.403,0.732,-7.386,0.0452,0.748,0.379,0.114,0.195,162.576,4.186216666666667
0.601,0.478,-14.561,0.0295,0.372,0.867,0.326,0.486,111.028,5.479716666666667
0.393,0.385,-10.985,0.0396,0.547,0.0,0.545,0.777,177.956,3.2348833333333333
0.579,0.477,-8.539,0.0367,0.127,0.0,0.0974,0.537,89.724,4.668216666666667
0.809,0.434,-10.688,0.0363,0.579,0.47,0.0827,0.788,120.034,3.832666666666667
0.783,0.579,-11.799,0.281,0.944,0.147,0.12,0.37,155.79,3.2123166666666667
0.756,0.672,-6.847,0.0454,0.198,0.387,0.0859,0.642,97.987,3.6456166666666667
0.715,0.464,-7.807,0.0416,0.0757,0.000588,0.221,0.411,108.995,3.1633833333333334
0.823,0.551,-11.649,0.0372,0.112,0.412,0.092,0.962,100.987,3.06345
0.694,0.648,-7.954,0.0377,0.139,0.85,0.0628,0.0913,115.005,4.43055
0.714,0.759,-12.869,0.0389,0.0116,0.248,0.0998,0.849,119.994,6.922883333333333
0.488,0.663,-12.098,0.0325,0.591,0.908,0.118,0.246,97.021,3.6679
0.563,0.872,-6.548,0.053,0.117,0.00108,0.103,0.886,124.2,5.883933333333333
0.881,0.546,-9.357,0.0407,0.0532,0.000149,0.0497,0.852,102.814,5.340216666666667
0.593,0.791,-8.698,0.068,0.175,0.0,0.0976,0.63,112.295,3.1466666666666665
0.759,0.508,-8.185,0.0269,0.218,0.261,0.121,0.525,117.778,3.9791166666666666
0.565,0.52,-10.681,0.0333,0.556,0.137,0.0748,0.378,103.515,4.2282166666666665
0.575,0.305,-11.09,0.0507,0.879,0.000136,0.104,0.277,117.091,3.0653333333333332
0.263,0.503,-6.948,0.0386,0.0148,0.0171,0.11,0.255,112.019,5.978
0.607,0.672,-10.022,0.0283,0.000331,0.649,0.109,0.407,144.049,5.825116666666666
0.299,0.839,-6.238,0.035,0.0471,0.00064,0.383,0.587,149.171,3.6066666666666665
0.662,0.574,-8.696,0.0261,0.298,0.00902,0.115,0.948,109.085,3.99675
0.43,0.971,-3.845,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,3.533333333333333
0.706,0.531,-12.357,0.0463,0.0592,0.266,0.11,0.0787,118.981,8.63865
0.542,0.795,-6.818,0.032,0.0119,0.608,0.237,0.34,116.991,6.439683333333333
0.73,0.205,-15.489,0.0957,0.872,0.0593,0.095,0.206,124.989,3.3230833333333334
0.497,0.388,-10.696,0.0364,0.469,0.0809,0.121,0.529,125.127,4.614883333333333
0.297,0.365,-8.348,0.0325,0.933,0.0274,0.0769,0.261,176.672,5.261783333333334
0.529,0.581,-9.311,0.0287,0.259,0.122,0.106,0.583,93.259,3.6097333333333332
0.53,0.822,-6.789,0.17,0.00071,0.686,0.0705,0.814,124.051,3.67725
0.531,0.594,-7.656,0.032,0.0042,0.386,0.199,0.75,104.677,3.0166666666666666
0.561,0.896,-4.903,0.0528,0.765,0.685,0.124,0.629,86.808,3.5631
