id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1YLUxdSfbsXYktpkp1aUvd,Pelicans We,The Fly,Cosmo Sheldrake,False,0,0.865,0.694,10,-6.358,0,0.0431,0.252,0.000842,0.11,0.661,103.988,audio_features,spotify:track:1YLUxdSfbsXYktpkp1aUvd,https://api.spotify.com/v1/tracks/1YLUxdSfbsXYktpkp1aUvd,https://api.spotify.com/v1/audio-analysis/1YLUxdSfbsXYktpkp1aUvd,3.5656333333333334,4
57HwKH3pHLeelTkckr94qf,Beware of the Maniacs,Horny Hippies,The Dodos,False,47,0.449,0.541,11,-10.299,0,0.0417,0.0873,0.0,0.17,0.276,125.156,audio_features,spotify:track:57HwKH3pHLeelTkckr94qf,https://api.spotify.com/v1/tracks/57HwKH3pHLeelTkckr94qf,https://api.spotify.com/v1/audio-analysis/57HwKH3pHLeelTkckr94qf,2.984933333333333,4
4Dy9SM605DwtyqEHGUj1ZD,Husbands,"You, Me, Cellphones",Husbands,False,0,0.512,0.55,0,-8.264,1,0.0272,0.00688,0.000839,0.106,0.48,99.905,audio_features,spotify:track:4Dy9SM605DwtyqEHGUj1ZD,https://api.spotify.com/v1/tracks/4Dy9SM605DwtyqEHGUj1ZD,https://api.spotify.com/v1/audio-analysis/4Dy9SM605DwtyqEHGUj1ZD,3.6432166666666665,4
290xSzR8Ee9fm82poMg4od,Quiet Ferocity,Used to Be in Love,The Jungle Giants,False,62,0.83,0.631,11,-5.238,0,0.0313,0.0022,0.0359,0.0539,0.877,128.013,audio_features,spotify:track:290xSzR8Ee9fm82poMg4od,https://api.spotify.com/v1/tracks/290xSzR8Ee9fm82poMg4od,https://api.spotify.com/v1/audio-analysis/290xSzR8Ee9fm82poMg4od,3.7131166666666666,4
5ySZ6gVWw9XQf1Dxg4gj2M,Time Capsules II,Heart,Oberhofer,False,22,0.403,0.732,9,-7.386,0,0.0452,0.748,0.379,0.114,0.195,162.576,audio_features,spotify:track:5ySZ6gVWw9XQf1Dxg4gj2M,https://api.spotify.com/v1/tracks/5ySZ6gVWw9XQf1Dxg4gj2M,https://api.spotify.com/v1/audio-analysis/5ySZ6gVWw9XQf1Dxg4gj2M,4.186216666666667,4
5x2iDSe6UhPogU7tdOsI9L,The Hustle Unlimited,The Hustle Unlimited,Lambchop,False,39,0.601,0.478,6,-14.561,1,0.0295,0.372,0.867,0.326,0.486,111.028,audio_features,spotify:track:5x2iDSe6UhPogU7tdOsI9L,https://api.spotify.com/v1/tracks/5x2iDSe6UhPogU7tdOsI9L,https://api.spotify.com/v1/audio-analysis/5x2iDSe6UhPogU7tdOsI9L,5.479716666666667,4
7bzfyzaZjqai1wTEJsxTOF,Sinatra And Swingin' Brass,I Get A Kick Out Of You,Frank Sinatra,False,0,0.393,0.385,5,-10.985,0,0.0396,0.547,0.0,0.545,0.777,177.956,audio_features,spotify:track:7bzfyzaZjqai1wTEJsxTOF,https://api.spotify.com/v1/tracks/7bzfyzaZjqai1wTEJsxTOF,https://api.spotify.com/v1/audio-analysis/7bzfyzaZjqai1wTEJsxTOF,3.2348833333333333,4
6UaocmOO1bO7YwfHv9Kqcy,The Way We Were: The Best Of Gladys Knight & The Pips,Midnight Train to Georgia,Gladys Knight & The Pips,False,60,0.579,0.477,10,-8.539,0,0.0367,0.127,0.0,0.0974,0.537,89.724,audio_features,spotify:track:6UaocmOO1bO7YwfHv9Kqcy,https://api.spotify.com/v1/tracks/6UaocmOO1bO7YwfHv9Kqcy,https://api.spotify.com/v1/audio-analysis/6UaocmOO1bO7YwfHv9Kqcy,4.668216666666667,4
6rJGYKNLvDeXl021XUT8SK,About Face,Camberwell,#1 Dads,False,0,0.809,0.434,5,-10.688,1,0.0363,0.579,0.47,0.0827,0.788,120.034,audio_features,spotify:track:6rJGYKNLvDeXl021XUT8SK,https://api.spotify.com/v1/tracks/6rJGYKNLvDeXl021XUT8SK,https://api.spotify.com/v1/audio-analysis/6rJGYKNLvDeXl021XUT8SK,3.832666666666667,4
6w6bztcdjdwRtHkrVBexGE,The Pleasant Trees (Volume 3),Miffed,Tom Rosenthal,False,41,0.783,0.579,5,-11.799,0,0.281,0.944,0.147,0.12,0.37,155.79,audio_features,spotify:track:6w6bztcdjdwRtHkrVBexGE,https://api.spotify.com/v1/tracks/6w6bztcdjdwRtHkrVBexGE,https://api.spotify.com/v1/audio-analysis/6w6bztcdjdwRtHkrVBexGE,3.2123166666666667,3
67dDXJ2BkhEdCaM4cvTOw6,Hide & Seek,Common World,Yes I'm Very Tired Now,False,27,0.756,0.672,0,-6.847,0,0.0454,0.198,0.387,0.0859,0.642,97.987,audio_features,spotify:track:67dDXJ2BkhEdCaM4cvTOw6,https://api.spotify.com/v1/tracks/67dDXJ2BkhEdCaM4cvTOw6,https://api.spotify.com/v1/audio-analysis/67dDXJ2BkhEdCaM4cvTOw6,3.6456166666666667,4
42IE9djoOoTpW5BGxKlPA1,Hearts,Hearts,CHILDREN,False,4,0.715,0.464,2,-7.807,0,0.0416,0.0757,0.000588,0.221,0.411,108.995,audio_features,spotify:track:42IE9djoOoTpW5BGxKlPA1,https://api.spotify.com/v1/tracks/42IE9djoOoTpW5BGxKlPA1,https://api.spotify.com/v1/audio-analysis/42IE9djoOoTpW5BGxKlPA1,3.1633833333333334,4
4S61nFbE4MU8I0SeiI2Ebw,Beat Tape,Disco,Benny Sings,False,0,0.823,0.551,6,-11.649,1,0.0372,0.112,0.412,0.092,0.962,100.987,audio_features,spotify:track:4S61nFbE4MU8I0SeiI2Ebw,https://api.spotify.com/v1/tracks/4S61nFbE4MU8I0SeiI2Ebw,https://api.spotify.com/v1/audio-analysis/4S61nFbE4MU8I0SeiI2Ebw,3.06345,4
4nZNT7iFMpKBz90niaVh6O,Cupa Cupa (Little People Remix),Cupa Cupa - Little People Remix,"Parra for Cuva, Little People",False,0,0.694,0.648,10,-7.954,1,0.0377,0.139,0.85,0.0628,0.0913,115.005,audio_features,spotify:track:4nZNT7iFMpKBz90niaVh6O,https://api.spotify.com/v1/tracks/4nZNT7iFMpKBz90niaVh6O,https://api.spotify.com/v1/audio-analysis/4nZNT7iFMpKBz90niaVh6O,4.43055,4
6SeMUbVazXNQ1ofAaZIMOj,DJ-Kicks (DJ Koze) [DJ Mix],Surrender (Kosi Edit) - mixed,"Portable, L_cio",False,0,0.714,0.759,7,-12.869,1,0.0389,0.0116,0.248,0.0998,0.849,119.994,audio_features,spotify:track:6SeMUbVazXNQ1ofAaZIMOj,https://api.spotify.com/v1/tracks/6SeMUbVazXNQ1ofAaZIMOj,https://api.spotify.com/v1/audio-analysis/6SeMUbVazXNQ1ofAaZIMOj,6.922883333333333,4
3TxH9hjKCNlHTUQsPiUaLK,Bloodflow,Bloodflow - Edit,Grandbrothers,False,48,0.488,0.663,3,-12.098,0,0.0325,0.591,0.908,0.118,0.246,97.021,audio_features,spotify:track:3TxH9hjKCNlHTUQsPiUaLK,https://api.spotify.com/v1/tracks/3TxH9hjKCNlHTUQsPiUaLK,https://api.spotify.com/v1/audio-analysis/3TxH9hjKCNlHTUQsPiUaLK,3.6679,4
