,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Sweet Oscar,Summer,Summer,2qTZ6o9q4vxxVlGbsJCFTA,0.789,0.475,0,-17.032,1,0.065,0.881,0.111,0.271,169.94,116471,4
1,Gregory David,After Hours,The Rooftop,3QGeVTGNN77x4oQcUneQp5,0.721,0.487,2,-9.519,0,0.144,0.855,0.23,0.537,78.055,212309,4
2,Midnight Smoothie,Night Blue Skies,Night Blue Skies,69oebUHeibzbgcD1MUsSsl,0.543,0.602,1,-10.862,1,0.0646,0.867,0.191,0.527,84.985,128442,4
3,Cloudchord,Low Key,Low Key,2rdlNy8ioOeyHNzcgp5lRw,0.758,0.577,8,-8.259,1,0.0921,0.65,0.133,0.521,88.395,155091,4
4,So_nny,Wonderland,Wonderland,6qeMnGssbQmFZQ4NA9NPT2,0.726,0.369,0,-10.117,0,0.049,0.84,0.138,0.726,80.018,150000,4
5,Joi Casette,One Two Tree,One Two Tree,1tNwm7phOIMzGC1VO9Dggr,0.797,0.263,6,-13.089,0,0.106,0.786,0.918,0.379,80.014,121875,4
6,LelleXCX,Youth,Faster,74HsEuxWpgnH0osQ3LT7UP,0.627,0.14,2,-16.782,1,0.0832,0.861,0.161,0.508,163.898,149268,4
7,High John,High Jazz,Train Ride,4mHEsCjfyA1vKlIIgsMDrU,0.496,0.169,0,-19.157,0,0.348,0.88,0.135,0.515,91.335,151000,4
8,isaintjames,Playground Sessions Vol 1,Trillest,2PmHbcDaBmWr3OmoD09vTd,0.41,0.665,11,-8.773,1,0.127,0.628,0.502,0.899,182.517,92898,4
9,Jazzarama,Vacation Plans,Cameo,30OXkzWR9otpCgUpAPrtPA,0.711,0.342,9,-14.975,0,0.272,0.235,0.0982,0.342,140.06,153429,4
10,Larry Lelobster,Summer Love,Dreaming About It,7FEgFOeGLK4inE6UsMIrWH,0.497,0.688,2,-6.436,1,0.138,0.867,0.0923,0.481,78.27,129231,4
11,Vice Bertha,Trippy,Trippy,41V8oTrxIWOK9orYM2Aihk,0.763,0.783,10,-5.1,1,0.221,0.858,0.094,0.512,83.022,124337,4
12,Screen Jazzmaster,Caribs,Caribs,77IvFp174yhWdvqwBYkphA,0.767,0.685,0,-8.74,1,0.0518,0.849,0.0931,0.491,83.0,127229,4
13,Zmeyev,A Costa,A Costa,009s8MccQSXM4pAQwsP59s,0.681,0.689,10,-10.452,0,0.0495,0.884,0.11,0.843,93.994,132766,4
14,Bullseye Release,Selected,Selected,7G4scWFcZcwVE1jRLuXLsf,0.748,0.627,7,-4.52,0,0.0742,0.868,0.141,0.52,82.004,190976,4
15,Worldtraveller,PALMTREES,PALMTREES,68LpjjFHicK5YIM5I5KMex,0.875,0.295,8,-13.702,0,0.202,0.898,0.112,0.73,96.005,130625,4
16,tajima hal,Cobblestone,Cobblestone,66DEOiQSYkFl30qIcR5pbr,0.761,0.665,5,-5.814,0,0.0448,0.895,0.11,0.964,92.547,100345,4
17,Nathan Kawanishi,Walking to Adachi / Neon Signage,Walking to Adachi,3HTm1FF3Cv1i7QMMIBkbVJ,0.833,0.432,1,-11.625,1,0.0438,0.89,0.137,0.237,108.676,141332,4
18,Simber,Big Easy City,Big Easy City,22JgzHfHyonKuvOSpvEKDz,0.587,0.483,5,-15.125,0,0.107,0.535,0.195,0.456,85.763,120000,4
19,K9 Division,Zakky,Vague Action,5P4K1RXoqxuLalYxSQqgbA,0.591,0.54,4,-13.829,0,0.0366,0.879,0.0848,0.565,95.987,110000,4
20,Burrito Brown,Pear Pressure,Pear Pressure,6Cr1O5VOD2QPYQWHTDRg3c,0.485,0.289,5,-13.379,1,0.0271,0.928,0.108,0.249,77.068,142429,4
21,Mr OCB,Samurai,Samurai,2AXqiVRL9dhZ47IDPiGR6H,0.558,0.227,1,-9.879,0,0.0804,0.844,0.102,0.261,116.28,160976,3
22,Jazzinuf,Lemon Ginger,Lemon Ginger,5YWNeJW5s40JgHGFiNhFh2,0.673,0.328,9,-12.509,1,0.0337,0.196,0.119,0.281,75.041,153600,4
23,ULMÄR,Beatology Vol. 1,Birch Sap,5tiP9vXHi7Z12WkGyup8zV,0.404,0.322,9,-16.105,1,0.282,0.92,0.249,0.358,68.665,157329,4
